recipe_name,ingredient_text,number_of_servings,calories,protein,protein_density,num_vegetable_servings,adobo,almond,aminos,apricot,apricots,arborio,bacon,balsamic,basil,bay,beans,beef,beer,bell,bite,black,blend,bread,breast,breasts,broccoli,broth,brown,buns,butter,cabbage,canned,canola,carrots,cauliflower,cayenne,celery,cheddar,cheese,cherry,chick,chicken,chickpeas,chiles,chili,chipotle,chocolate,chops,chunks,chutney,cilantro,cinnamon,clove,cloves,coarse,coconut,cook,coriander,cornstarch,cow,cracked,cranberries,cream,crumbs,cucumber,cumin,cup,curry,dijon,dill,dressing,duck,egg,enchilada,evaporated,extra,fish,flat,flour,foil,freshly,garlic,ginger,greek,green,ground,habanero,half,halves,hamburger,heavy,herbs,hibiscus,honey,jalapeno,juice,kosher,lamb,laughing,leaf,lean,leaves,legs,lemon,lettuce,lime,liquid,lobe,loin,maple,marmalade,mayonnaise,meat,mexican,middle,milk,mixture,molasses,moroccan,mozzarella,mushrooms,mustard,natural,neck,newman,oil,olive,onion,onions,orange,oregano,parmesan,parsley,pasilla,pasta,paste,peanut,peanuts,peas,penne,pepper,peppercorns,peppers,petals,pineapple,plum,plus,potatoes,powder,purpose,red,refried,rice,roma,romaine,root,salad,salsa,salt,sauce,sausage,sea,seasoning,seeds,semolina,sesame,shallot,sharp,shells,shoulder,sized,skewers,skim,slaw,slivers,slow,soup,soy,spice,spinach,sprigs,sriracha,starch,stew,stock,substitute,sugar,sunflower,swiss,syrup,tabasco,tahini,tapioca,tart,teaspon,thai,thyme,tomato,tomatoes,tomotoes,tortillas,turkey,turmeric,tzatziki,vegetable,verde,vinegar,virgin,water,wedges,white,wine,wooden,yogurt
Lamb Burgers With Tzatziki Sauce,cucumber egg extra virgin olive oil flat leaf parsley dill garlic greek yogurt ground lamb hamburger buns juice of lemon kosher salt & pepper,4,617,38,0.06158833063209076,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233322757048996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25736593664160556,0.0,0.0,0.0,0.0,0.2912528950109543,0.0,0.0,0.2146734180983407,0.0,0.0,0.233322757048996,0.0,0.233322757048996,0.0,0.0,0.0,0.12285632176703372,0.0,0.25736593664160556,0.0,0.14150566071768902,0.0,0.0,0.0,0.233322757048996,0.0,0.0,0.0,0.0,0.0,0.17539261908703774,0.2146734180983407,0.1994357986796473,0.0,0.233322757048996,0.0,0.0,0.0,0.25736593664160556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12285632176703372,0.1655488403102986,0.0,0.0,0.0,0.0,0.0,0.2146734180983407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11746248112507941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10761870234834028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25736593664160556,0.0,0.0,0.0,0.0,0.0,0.25736593664160556
Chicken Parmesan Patty- Eat As A Burger OR On Pasta,cup bread crumbs egg mozzarella garlic ground chicken olive oil onion pepper sea salt teaspon blend seasoning,3,715,54,0.07552447552447553,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3274607649247584,0.26232888945101873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17622923338957713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26232888945101873,0.0,0.0,0.3274607649247584,0.0,0.0,0.0,0.0,0.0,0.24136110886331683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13812952863579947,0.0,0.0,0.0,0.1590973092235014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28936106017098073,0.0,0.0,0.0,0.0,0.0,0.13812952863579947,0.18612947994346335,0.15157606147845218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320651385035394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12099760446972369,0.0,0.0,0.3274607649247584,0.3274607649247584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3274607649247584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheesy Bacon Burger with Spicy Chipotle Aiolo Sauce,chipotle chiles in adobo mayonnaise garlic garlic powder greek yogurt bell pepper ground cumin ground pepper ground beef lime juice onion wedges of laughing cow swiss cheese turkey bacon hamburger buns,4,475,49,0.1031578947368421,4,0.22619581053201196,0.0,0.0,0.0,0.0,0.0,0.22619581053201196,0.0,0.0,0.0,0.0,0.19987817336472785,0.0,0.18120551263284912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18120551263284912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12857023829828096,0.0,0.0,0.0,0.0,0.19987817336472785,0.0,0.19987817336472785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22619581053201196,0.0,0.0,0.0,0.0,0.0,0.19987817336472785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19082787335061965,0.0,0.19987817336472785,0.0,0.3296927326992066,0.0,0.0,0.0,0.18120551263284912,0.0,0.0,0.0,0.0,0.0,0.1362152147336863,0.0,0.0,0.22619581053201196,0.0,0.0,0.0,0.0,0.0,0.0,0.18120551263284912,0.0,0.0,0.0,0.0,0.0,0.22619581053201196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047022231541129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18244983366904688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667218717417567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22619581053201196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1362152147336863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22619581053201196,0.0,0.0,0.0,0.19987817336472785
Turkey Burgers with Slaw,ground turkey olive oil cabbage coconut cream lime juice cilantro coconut lettuce salt,2,422,46,0.10900473933649289,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36191785030026263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28993246798157,0.0,0.0,0.0,0.0,0.57986493596314,0.0,0.0,0.0,0.0,0.0,0.0,0.26675835099197487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1758383364063665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21794708566287746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28993246798157,0.28993246798157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15266421941677139,0.20571496946854817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13372958714985556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21794708566287746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falafel Burger,chickpeas tahini sriracha sauce garlic parsley onion peanut oil cucumber tomato hamburger buns tzatziki,4,400,11,0.0275,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703717393322425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375005199048225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982327005507243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14236449896372202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703717393322425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14236449896372202,0.0,0.15622329461624948,0.0,0.0,0.0,0.0,0.2487610988904001,0.0,0.0,0.0,0.2982327005507243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21617498792524523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375005199048225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3375005199048225,0.0,0.0,0.0,0.0,0.0,0.21617498792524523,0.0,0.0,0.0,0.0,0.0,0.3375005199048225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curried Lamb Tarts,vegetable oil cumin seeds garlic ginger onion plum tomatoes salt each: ground coriander each: turmeric each: cream ground lamb each: peas several tart shells,6,545,22,0.04036697247706422,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29193081444815105,0.0,0.0,0.0,0.0,0.21517309135574422,0.0,0.0,0.2579649808877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12314228180360343,0.21517309135574422,0.0,0.0,0.28367005780859267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19990000489601026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12314228180360343,0.0,0.1351298470472178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2338658384564371,0.0,0.0,0.0,0.0,0.0,0.0,0.2579649808877241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10786919534386943,0.0,0.0,0.0,0.0,0.2579649808877241,0.0,0.0,0.0,0.0,0.29193081444815105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29193081444815105,0.0,0.0,0.0,0.0,0.21517309135574422,0.0,0.0,0.0,0.29193081444815105,0.0,0.29193081444815105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balsamic Marinated Lamb Chops,lamb loin chops garlic balsamic vinegar dijon mustard each; oregano all of these herbs red wine vinegar olive oil brown sugar kosher salt pepper,2,887,38,0.04284103720405862,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646007124834757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23381470663762716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646007124834757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21197168787438575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11161389579126282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646007124834757,0.0,0.0,0.0,0.0,0.1950289262462013,0.18118568202853724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646007124834757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1950289262462013,0.0,0.0,0.0,0.11161389579126282,0.15039967618268868,0.0,0.0,0.0,0.23381470663762716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10671363865620583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646007124834757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09777065157359871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23381470663762716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676294132752543,0.0,0.0,0.0,0.0,0.21197168787438575,0.0,0.0
Lamb In Red Mole Sauce,chipotle peppers pasilla peppers plum tomatoes garlic oregano cinnamon sesame seeds pepper canola oil mexican chocolate salt tomato sauce canola oil lamb shoulder salt and pepper,4,286,4,0.013986013986013986,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382838969542628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1936450205075632,0.2191419484771314,0.0,0.0,0.0,0.0,0.2191419484771314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924384759634701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15005773424881166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2191419484771314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1848769519269402,0.0,0.0,0.0,0.0,0.1936450205075632,0.0,0.0,0.2191419484771314,0.0,0.0,0.0,0.0,0.0,0.0,0.17676017940175345,0.0,0.4382838969542628,0.0,0.0,0.1936450205075632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16194704004098376,0.140364252118243,0.0,0.0,0.0,0.1936450205075632,0.0,0.1936450205075632,0.0,0.0,0.0,0.2191419484771314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140364252118243,0.16152269019178986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMB AND KIDNEY HOT- POT,butter ground pepper middle neck of lamb onions potatoes salt water plus,4,705,35,0.04964539007092199,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532132498312577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19206975949860877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27070002495684187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39532604712989133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39532604712989133,0.0,0.0,0.0,0.0,0.3493302904150749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15943525075519202,0.0,0.0,0.0,0.0,0.0,0.3493302904150749,0.3493302904150749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14607400278379234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31669578167165824,0.0,0.0,0.0,0.0,0.0
Boozy Bbq Chicken,white wine beer broccoli slow cook brown rice cherry tomotoes dijon mustard ginger garlic bell pepper ground pepper lemon soy sauce molasses bite sized mushrooms olive oil orange orange juice pepper bell pepper onion newman's own salad dressing salt tabasco sauce water white wine chicken wooden skewers wooden skewers,6,725,32,0.044137931034482755,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505798621423404,0.24125912011818587,0.1505798621423404,0.0,0.0,0.0,0.0,0.0,0.12062956005909294,0.0,0.1330600585383699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505798621423404,0.0,0.08103741428488462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505798621423404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12062956005909294,0.0,0.1505798621423404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06351761068091413,0.11098771636813208,0.0,0.0,0.07315945437187499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09067925797584549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330600585383699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505798621423404,0.0,0.0,0.1505798621423404,0.11098771636813208,0.0,0.0,0.1505798621423404,0.06351761068091413,0.08558995285115195,0.06970087682641506,0.0,0.24125912011818587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24291582357039201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11098771636813208,0.0,0.0,0.0,0.1505798621423404,0.0,0.05563965076790448,0.19289807251014196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505798621423404,0.3011597242846808,0.0,0.0,0.0,0.1505798621423404,0.0,0.1505798621423404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505798621423404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505798621423404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12062956005909294,0.0,0.2661201170767398,0.24125912011818587,0.3011597242846808,0.0
Easy Baked Parmesan Chicken,chicken breast halves egg bread crumbs pasta sauce mozzarella cheese parmesan cheese,4,497,62,0.12474849094567404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2908935481595311,0.2908935481595311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4127937639743023,0.0,0.0,0.1954186101935222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2908935481595311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2676426126451412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3208692175249601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3208692175249601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3208692175249601,0.0,0.0,0.3208692175249601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23258314428951601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
