recipe_name,ingredient_text,number_of_servings,calories,protein,protein_density,num_vegetable_servings,ingredient_embedding,target
Home Made Dry-Aged Sirloin Steak with Cheesy Roast Fingerling Potatoes,sirloin steaks fingerling potatoes mexican cheese blend extra virgin olive oil granulated garlic ground pepper pepper flakes cilantro chives garlic cloves green onions,2,1061,81,0.0763430725730443,4,"[-0.11407    -0.09800884 -0.50830483  0.00244148  0.70910925  0.30779672
  0.0795387  -0.0142086  -0.29306868 -0.18191138 -0.2988183   0.26181576
  0.89959085 -0.0894857  -0.12915808 -0.180923    0.11947627  0.26804247
 -0.29178372 -0.7531635   0.04826747 -0.56425285  1.2624183   0.03325891
 -0.7843147  -0.07643835  0.5692014   0.8931268   1.1120893  -0.26319143
  1.4547256   0.09593166 -0.19958897  0.8155965   0.09524025  0.4991473
 -0.8398186   0.5076139   0.6417714  -0.67096484  0.7699998   0.10386425
  0.17604983 -0.49134564  0.801533    1.0889707   0.08666926 -0.07521991
 -0.2866481  -0.01605318]",4.152686145146089
Steak with lemon and capers,beef steak butter capers wine flour garlic ground pepper lemon juice lemon wedges olive oil parsley salt,2,949,47,0.0495258166491043,4,"[-0.13148034  0.03387471 -0.721977    0.05321731  0.59354234  0.43171474
 -0.07233488  0.10492582 -0.16391587  0.01616123 -0.28337923  0.3477365
  0.87564766 -0.2913835  -0.05045498 -0.12166373  0.20693979  0.3663289
 -0.14739612 -0.94941396  0.2131007  -0.5627076   1.3822712   0.03262147
 -0.7634264  -0.20897035  0.5267243   1.081602    1.2347405  -0.17810763
  1.6924615  -0.07664071 -0.45420966  0.92349005  0.07145987  0.3076744
 -0.9470962   0.6333764   1.0939788  -0.4083658   0.7956256   0.09518857
 -0.11037699 -0.44738647  0.7188321   1.0487849  -0.05348254 -0.00854173
 -0.17592429 -0.02916177]",4.099051633298209
Steak Salad with Chimichurri Sauce,flank steak olive oil salt and pepper to season onion baby bella mushrooms spring mix cherry tomatoes avocado lightly parsley garlic thyme pepper flakes bone broth red wine vinegar extra virgin olive oil salt pepper,4,475,29,0.0610526315789473,7,"[ 0.06161331  0.20226273 -0.597457   -0.03192689  0.52066684  0.1893883
 -0.20026362  0.07309814 -0.16499963  0.03037509 -0.2036966   0.24529994
  0.7016889  -0.12583746  0.07298036 -0.12500034  0.15578769  0.17428385
 -0.3590831  -0.6265589   0.01193441 -0.42980418  1.1765326  -0.02563885
 -0.675945   -0.32824242  0.31085634  0.8759018   0.8600606  -0.29404655
  1.8879205  -0.05424728 -0.2899531   0.5493517   0.06086106  0.35730872
 -0.67769974  0.44232547  0.86567104 -0.5002988   0.50783753  0.033953
 -0.00709457 -0.45683828  0.7620645   0.8140228   0.04819737 -0.173293
 -0.21039373 -0.07634512]",7.122105263157895
Steak With Blue Cheese Sherry Sauce,cheese crumbles olive oil parsley sherry top round,2,368,37,0.1005434782608695,1,"[-1.63595885e-01  2.84813762e-01 -3.49338740e-01  2.04662517e-01
  5.50841272e-01  2.53528982e-01 -2.41484731e-01  2.00185493e-01
 -3.80368769e-01 -2.28937626e-01 -3.08050305e-01  9.37012434e-02
  2.10122854e-01  8.73316154e-02  5.38117513e-02 -5.25500104e-02
  2.52852380e-01  8.45142603e-02 -3.51751149e-02 -6.46087468e-01
  1.46222919e-01 -2.87138522e-01  7.75415003e-01  1.57749839e-03
 -4.67338860e-01 -4.36585754e-01  2.96557486e-01  7.89444685e-01
  5.07595003e-01  8.49049985e-02  1.69345498e+00 -1.15426235e-01
 -2.77282506e-01  8.26031327e-01  7.41872489e-02  8.11606273e-02
 -8.11228752e-01  6.83013737e-01  9.08842027e-01 -5.49466372e-01
  5.43404341e-01  7.98600018e-02  1.85333118e-01 -5.51968753e-01
  5.33069968e-01  8.77901256e-01 -5.71808815e-02  1.14156261e-01
  3.00972089e-02 -2.70256132e-01]",1.201086956521739
Steak Salad With Roasted Potatoes and Fennel,steak fennel bulbs new potatoes oil salt and pepper a shallot mayo red wine vinegar dijon mustard oil honey arugula leaves golden raisins,4,814,39,0.0479115479115479,4,"[ 0.12402787  0.32522973 -0.5056247   0.04207017  0.52927065  0.14145839
 -0.14757587 -0.03992095 -0.19161907  0.00358962 -0.19222261  0.26868537
  0.6752885  -0.18575393  0.0786607  -0.02591839  0.10101217  0.34472594
 -0.3820217  -0.75611836  0.06645268 -0.58558255  1.0366504  -0.08413861
 -0.66492003 -0.4689661   0.11371563  0.8463363   0.7957369  -0.10102139
  1.609297    0.074241   -0.3835459   0.556256    0.31045896  0.27930042
 -0.7349313   0.532739    0.757113   -0.39505368  0.44748327  0.1631619
 -0.01604872 -0.48409438  0.7206641   0.83835024  0.01879474 -0.22940917
 -0.10392285 -0.07070704]",4.0958230958230954
Steak And Pepper Rounds With Rose Horseradish Garlic Creme Sauce,olive oil garlic bulb beef rib steak worcestershire sauce jack daniels mustard pepper flakes rose syrah wine olive oil roasted pepper sections marscapone cheese horseradish roasted garlic basil oregano lemon juice of salt of pepper rose syrah wine bread or),8,395,19,0.0481012658227848,6,"[-1.16004905e-01  9.30450741e-02 -6.81996874e-01 -8.06285050e-03
  5.26725998e-01  3.02578024e-01 -9.42992727e-02 -3.84997017e-02
 -1.73507649e-01  1.43442574e-01 -1.42819904e-01  2.31184025e-01
  7.57827996e-01 -3.31658402e-01  6.95344555e-02 -8.38264477e-02
  3.21212850e-02  3.08804309e-01 -2.10800077e-01 -6.06859885e-01
  1.34328952e-01 -4.85995455e-01  1.07162965e+00  1.38009759e-02
 -6.82659903e-01 -3.16307574e-01  1.98506526e-01  8.15681077e-01
  7.72862238e-01 -1.71437570e-01  1.51915082e+00 -1.66452115e-01
 -1.63387899e-01  7.71198917e-01  2.27809153e-01  1.87399868e-01
 -7.83081517e-01  4.84742752e-01  8.91144504e-01 -3.78767522e-01
  5.36373125e-01  1.85390550e-01  3.79492878e-04 -5.01052723e-01
  7.32391595e-01  9.08414274e-01  1.49604697e-02 -6.66846069e-02
 -2.22407101e-01 -5.11442762e-02]",6.096202531645569
Italian Kale and Potato Soup,olive oil ground turkey sausage potatoes onion garlic kale chicken broth basil oregano fennel seed buttermilk ground pepper kale to to,6,480,22,0.0458333333333333,6,"[ 1.9320738e-01 -1.0469952e-01 -5.3253353e-01  3.4574281e-02
  6.6574734e-01  1.5359271e-01  1.8218970e-01  2.1206474e-01
 -3.4808812e-01 -3.3754000e-01 -2.1280801e-01  2.0871049e-01
  7.8707522e-01 -2.3939618e-01 -7.9805233e-02  1.3998143e-01
  1.9232118e-01  2.4373157e-01 -2.4953283e-01 -3.1852308e-01
  7.7675998e-02 -5.8351290e-01  1.2034220e+00  3.3395290e-02
 -4.2959803e-01 -4.8018229e-01  4.5277095e-01  7.3346573e-01
  8.4236282e-01 -2.0989618e-01  1.7458220e+00  5.6276150e-04
 -2.6493564e-01  8.1979144e-01  4.4356052e-02  4.8331094e-01
 -7.2799194e-01  6.8648261e-01  6.5667003e-01 -4.4773182e-01
  6.1237246e-01  1.4261703e-01  6.2752992e-02 -5.5238420e-01
  9.8922902e-01  1.0160290e+00  1.1786469e-01 -4.8853145e-03
 -1.2215009e-01 -1.5746152e-01]",6.091666666666667
Choucroute Garni,onion juniper berries garlic bay leaf pepper rhine wine sausage links potatoes bacon drippings pork backs pork shoulder roll sauerkraut cooking apples brown sugar cloves loin fresh sausages: place in unheated skillet precooked sausages: add to water in saucepan,4,1157,64,0.0553154710458081,4,"[-0.0660717  -0.05597847 -0.45625187 -0.26195034  0.25196144  0.22423802
 -0.00914851 -0.04385196  0.01651772 -0.13793556 -0.24226995  0.13369605
  0.69323744 -0.016632   -0.02997374  0.15743666  0.13256356  0.14754872
 -0.24302622 -0.41721     0.33070708 -0.50658562  0.97726148  0.04994272
 -0.44148689 -0.4751605   0.22235223  0.74592078  0.7738203  -0.20965985
  1.65783103  0.14073231 -0.14009557  0.5848298  -0.04835134  0.396786
 -0.43339044  0.53013774  0.52924034 -0.38125367  0.39713479  0.11860458
  0.0285891  -0.25311792  0.57308787  0.80135023  0.07774644 -0.12881046
 -0.13204592 -0.12222654]",4.110630942091616
Creamy Risotto With Smoked Turkey Sausage,chicken stock olive oil onion garlic arborio rice white wine evaporated skim milk parmesan cheese ground pepper turkey sausage flat-leaf parsley peas,6,504,29,0.0575396825396825,4,"[-0.03779697 -0.01658546 -0.510246   -0.07817751  0.47609658  0.34684137
 -0.19689195 -0.08992582 -0.25908501 -0.03644746 -0.18650609  0.19627509
  0.80639637 -0.13074687  0.18098248  0.06264572  0.12911976  0.29626682
 -0.15851495 -0.56382337  0.26367436 -0.56296796  1.2074541   0.03476959
 -0.47334455 -0.41803836  0.34197878  0.93315682  0.77573182 -0.07630772
  1.54796273  0.05381586 -0.28713909  0.88003183 -0.09284227  0.16123755
 -0.82008887  0.74779136  0.69594303 -0.45593009  0.61032195  0.09386682
  0.06470305 -0.33044132  0.78308314  0.90451405 -0.10096114  0.28035523
 -0.04480245 -0.20812122]",4.115079365079365
Delicious Sausage & Peppers,bell peppers garlic - crushed& ground pepper sausages sausages jalapeño olive oil parsley salsa sea salt onion,8,543,17,0.0313075506445672,4,"[ 7.53546276e-02  1.20504237e-01 -6.05955927e-01  5.39651708e-02
  2.81232112e-01  1.07665292e-01 -2.41991151e-02  6.27504101e-02
 -3.30707005e-01  2.39434588e-02 -2.70561358e-01  2.71277059e-01
  7.38139995e-01  1.44308788e-02 -1.35915041e-01 -1.88184300e-01
  7.84041423e-02  3.16648824e-01 -4.45049057e-01 -5.41343242e-01
  5.15168859e-02 -4.69330234e-01  1.12332471e+00  2.66075856e-02
 -5.92545702e-01 -3.99171416e-01  3.60829408e-01  8.32198776e-01
  6.74470539e-01 -3.67985176e-01  1.62599414e+00 -8.66696228e-02
 -7.83192373e-02  7.10771294e-01  1.18846961e-03  3.03238294e-01
 -5.74313236e-01  3.86551177e-01  6.92327657e-01 -2.28253645e-01
  6.43246404e-01  2.49696469e-01  9.50447650e-02 -4.67186120e-01
  1.02207764e+00  9.62967462e-01 -1.65691223e-02 -8.71799090e-02
 -4.47524882e-01 -1.50688795e-02]",4.0626151012891345
Healthier Bangers and Mash,chicken sausages onion mushrooms flour reduced sodium chicken broth red wine cauliflower head milk butter cream cheese salt and pepper,2,333,25,0.075075075075075,3,"[-0.02070502  0.01971852 -0.71695143 -0.19787362  0.42728543  0.5344769
  0.04795223 -0.1115668  -0.10213301  0.08856768 -0.0207465   0.2105459
  0.8802787   0.03887464  0.15442821  0.1074604   0.10546783  0.43386298
 -0.32949597 -0.7177657   0.43080837 -0.67561454  1.469565    0.24736913
 -0.717373   -0.4253842   0.0976211   0.977478    0.8570253  -0.21050425
  1.8558595   0.06908951 -0.18222654  0.8650877  -0.0077022   0.29533485
 -0.51737833  0.90063703  0.97775936 -0.17460339  0.6416532   0.2390292
 -0.0414812  -0.20592289  0.9071647   0.9445156  -0.09493124 -0.12011082
 -0.0854154  -0.0404337 ]",3.15015015015015
"Lasagne, Marietta-Style",egg garlic powder hardboiled eggs sausage lasagne noodles ricotta mozzarella cheese,12,348,18,0.0517241379310344,0,"[ 0.13242537 -0.27686235 -0.6372646  -0.10859719  0.3897023   1.0650426
  0.00496565 -0.3172115  -0.19626819  0.13112225 -0.22185692  0.13977934
  1.1946937   0.49526194  0.02803081 -0.12663257  0.04052109  0.5462925
 -0.32847646 -0.31877548  0.5131796  -0.6042215   1.4618946   0.39850244
 -0.3429509  -0.00210582  0.03566782  0.9773688   0.89970726 -0.5078444
  0.7371746   0.10793181 -0.2925397   0.9998358  -0.06797189  0.44427064
 -0.5833227   1.0239828   1.0059272  -0.3879322   0.65220255  0.0545139
  0.00489364 -0.09602828  1.0462363   1.0358247   0.20593648  0.30985144
  0.52176166 -0.15296508]",0.1034482758620688
Refried Beans with Chorizo,pepper cilantro pinto beans chorizo kosher salt lard lard,6,213,13,0.0610328638497652,1,"[-0.41017696 -0.22104356 -0.7726611   0.06568331  0.3776756   0.01364778
  0.16162589  0.12264999 -0.43327558  0.2421689  -0.01045533  0.3859311
  1.0719614  -0.2080489   0.1916439  -0.2918507   0.10625335  0.32505733
  0.09509619 -0.6026889  -0.0559812  -0.6672389   1.3448077   0.16183588
 -0.63992333  0.13608943  0.56935406  0.84353447  1.11986    -0.24800134
  0.92745274 -0.2465318  -0.41649133  0.9973724  -0.0975109   0.41749442
 -0.5357591   0.7192577   0.97855216 -0.07570346  0.8922468   0.08550758
  0.07809944 -0.16442633  0.8644589   0.8621589  -0.30695155  0.0478754
 -0.02860355  0.03056399]",1.1220657276995305
Chorizo Parmesan Brussels Sprouts Skillet,brussels sprouts onion tomatoes sea salt garlic powder pepper chorizo parmesan cheese,3,107,7,0.0654205607476635,3,"[ 0.18123667  0.07893001 -0.65138835 -0.10566219  0.27700302  0.29234168
  0.06170968 -0.00442317 -0.64849    -0.11457053 -0.28025803  0.05691442
  1.0161133  -0.05986775  0.01666925 -0.13407359  0.13511032  0.32364747
 -0.43682238 -0.5658254   0.20290808 -0.6457396   1.5865499   0.2933909
 -0.6894391  -0.15598701  0.37328863  1.211656    0.7320475  -0.3762168
  1.379075   -0.13108583 -0.3818495   0.68849134 -0.10912805  0.20085818
 -0.79656786  0.8379867   1.1076359  -0.41812932  0.92796326  0.0348525
  0.34486976 -0.43866563  1.0118116   1.0863706   0.15486026  0.26734504
  0.09983257 -0.14861982]",3.130841121495327
"Broccoli, Sausage and Fresh Basil Pasta",bulk spicy sausage garlic onion merlot basil leaves pepper flakes broccoli goat cheese penne pasta,4,985,40,0.0406091370558375,4,"[ 0.24027331 -0.07194655 -0.8179853  -0.06942061  0.4826824   0.36393878
  0.086833   -0.10151186 -0.54356134  0.09398688 -0.36016926  0.46217006
  1.0333234  -0.17826515  0.1567052  -0.14880927  0.0207032   0.51618403
 -0.10550876 -0.50641847  0.10239239 -0.7226253   1.3651941   0.20273785
 -0.46347705 -0.01179079  0.1641816   1.0512339   0.7816938  -0.41778773
  1.1269383  -0.1621821  -0.09031913  1.125818    0.0360546   0.41272715
 -0.8138627   0.8194493   0.85036397 -0.47022334  0.7709769   0.34139317
 -0.0994176  -0.47661006  1.0040725   0.9692847   0.14944226  0.04413119
 -0.02859452  0.08781213]",4.081218274111675
Asparagus Quiche,asparagus tips slcs bacon butter tasty cheese cream egg yolks eggs flour garlic lemons milk onions parmesan cheese pch salt,8,288,9,0.03125,3,"[ 0.03092125 -0.03257794 -0.5627118  -0.33523738  0.4985636   0.89962053
 -0.14759961 -0.06709915 -0.3022972  -0.02872745 -0.18179351  0.17494358
  1.0814494   0.13740033 -0.0511431  -0.06561267  0.12624943  0.31721824
 -0.06839    -0.72660506  0.3223343  -0.6503581   1.402642    0.36563048
 -0.37410802  0.09460829  0.19102073  0.811323    1.0209591  -0.40436596
  1.1789305   0.20857748 -0.33353359  0.90035903  0.0083587   0.29871595
 -0.69552124  0.9055443   1.0716866  -0.39106137  0.7031273  -0.16803871
 -0.04391674 -0.166065    0.900867    0.961253    0.20896995  0.0317474
  0.0392919  -0.01783696]",3.0625
Black Bean Soup - Cindy Style,black beans bacon onion jalapeno garlic chicken broth water,6,140,5,0.0357142857142857,2,"[-0.02131615 -0.22352107 -0.744239   -0.16584979  0.5349256   0.14915
  0.19106446 -0.08493391 -0.2434578   0.01783844 -0.26712313  0.35992098
  1.2425466   0.09262422  0.13272558 -0.08851778  0.08752318  0.28560442
 -0.40957335 -0.66462135  0.14125    -0.743717    1.6354812   0.107781
 -0.6320112  -0.349737    0.35386     1.0169411   1.0581856  -0.31934875
  1.763205   -0.04491789 -0.20319366  0.8613583  -0.12463445  0.5771622
 -0.6692783   0.6106006   0.92092377 -0.47048214  0.7035224   0.41897577
  0.08613399 -0.42816544  1.1198761   1.229177    0.10748444 -0.24370724
 -0.1979102   0.07337411]",2.071428571428571
Eggy In The Basket,bacon butter egg maple syrup pancake mix,1,692,18,0.0260115606936416,0,"[-0.37693     0.15275002 -0.7182228  -0.12410385  0.5741342   1.0538843
 -0.34092742 -0.2261823  -0.19497572  0.12637457 -0.13836673  0.13969144
  1.0568343   0.44041285 -0.12625428  0.16688843  0.16325428  0.15831144
 -0.24051742 -0.8905972   0.44223288 -0.54551846  1.1514643   0.12943572
 -0.2836986   0.03364585 -0.10583271  0.87151     1.0704957  -0.23142
  1.3832328  -0.00706029 -0.47892544  0.8127186  -0.02780214  0.09230386
 -0.44377097  0.57632256  1.1262686  -0.19148387  0.46353254 -0.06156901
 -0.49221158 -0.235312    0.51468     1.351943    0.00792172 -0.1845667
 -0.10174243 -0.04138713]",0.0520231213872832
Pea Soup With Smoked Pork Ribs,bacon bay leaves peppercorns caraway seeds carrot onion peas pork ribs potatoes,4,751,36,0.047936085219707,4,"[-0.02635203  0.07952341 -0.5508299  -0.04810328  0.42042145  0.42743912
  0.071364    0.20344925 -0.1821205  -0.40316042 -0.4113563   0.19295841
  0.88753414 -0.01218251 -0.0520975   0.0100874   0.10939267  0.1673605
 -0.08155776 -0.25056016 -0.17727007 -0.6866438   1.4047202  -0.05011974
 -0.40205356 -0.13297169  0.4313139   0.95243424  0.9519375  -0.5126608
  1.3159868  -0.04627825 -0.034083    0.8638408  -0.02285492  0.5577489
 -0.5753762   0.565746    0.65465254 -0.69030637  0.33675838 -0.13588442
  0.00574625 -0.50924504  1.2128776   0.8804715   0.24009831 -0.23902899
 -0.3126043   0.0070325 ]",4.095872170439414
Barbecued Pulled Beef Sandwiches,bacon beef chuck olive oil brown sugar salt and pepper onion to 3 of barbecue sauce hawaiian rolls,6,766,37,0.0483028720626631,1,"[-0.17941004  0.11103464 -0.61366105  0.10693337  0.3857804   0.38170502
 -0.27570912 -0.03962628 -0.079462   -0.21473244 -0.15143472  0.24023877
  0.6581044  -0.13884255  0.07962738  0.03419434  0.07520958  0.23540293
 -0.38389805 -0.54422784  0.34412754 -0.44595158  0.9257095  -0.12002116
 -0.5450231  -0.81311804  0.08495721  0.5275051   0.66444045 -0.2580061
  2.1592207  -0.12794167 -0.346226    0.6339967   0.06111811  0.09736101
 -0.52625686  0.41299072  0.7106306  -0.23574212  0.3445214   0.21105264
 -0.01057817 -0.38651824  0.5235841   0.7902597  -0.11883725 -0.18794458
 -0.33797333  0.08276387]",1.0966057441253263
Bacon Wrapped Tofu Tacos,tofu fajita size cream cheese jalapeno peppers monterey jack cheese bacon chicken broth olive oil cumin chili powder paprika garlic cloves,10,497,28,0.056338028169014,1,"[-0.12847337 -0.09631441 -0.66306007  0.19765285  0.53847617  0.37524265
  0.03941382  0.08472355 -0.24082842  0.10227546 -0.15289606  0.17434074
  1.0203891   0.04471988  0.00671789 -0.15475719 -0.06212394  0.3514289
 -0.31153196 -0.54982585  0.15209943 -0.5599643   1.3112804   0.24950512
 -0.7530752  -0.16465905  0.18908457  0.8915442   1.116698   -0.379011
  1.2079859  -0.1790672  -0.24035922  0.8589247   0.08129729  0.3151355
 -0.7385478   0.6154036   0.9949172  -0.42090335  0.8674521   0.20292057
  0.13486893 -0.43622425  0.98120815  1.1607089   0.12060322  0.02646015
 -0.17339215  0.14033404]",1.112676056338028
Linguine E Americana,bacon pepper canned tomatoes carrots celery chicken stock garlic linguine onion parmesan cheese sea salt,4,606,26,0.0429042904290429,4,"[ 0.14885317 -0.17153133 -0.6576833  -0.09968609  0.5254189   0.31334767
  0.12120952 -0.04481187 -0.53694797 -0.05924667 -0.42824885  0.43511862
  0.98823255 -0.02606138  0.13730608 -0.17528227  0.09781485  0.39933863
 -0.3788648  -0.5217155   0.32375184 -0.7170335   1.5959146   0.05108213
 -0.64335996 -0.14548674  0.3697648   1.0671353   0.89219946 -0.43617553
  1.5559387  -0.02332306 -0.04179573  1.071364   -0.01708459  0.43284723
 -0.80641633  0.77610475  1.0144941  -0.67298335  0.738782    0.07766533
  0.19691592 -0.36008528  1.0145845   1.0851091   0.1816802   0.20093003
 -0.06063341  0.02119168]",4.085808580858086
Cheesy Bacon Burger with Spicy Chipotle Aiolo Sauce,chipotle chiles in adobo mayonnaise garlic garlic powder greek yogurt bell pepper ground cumin ground pepper ground beef lime juice onion wedges of laughing cow swiss cheese turkey bacon hamburger buns,4,475,49,0.1031578947368421,4,"[ 0.07450815 -0.24288204 -0.6350152   0.10235615  0.44086534  0.29160616
  0.04120875  0.09042498 -0.2227898  -0.07038666 -0.05988256  0.07086226
  0.574771   -0.08980533 -0.02827613 -0.07123946 -0.07316394  0.32769716
 -0.36881995 -0.41218308  0.11636109 -0.40945873  1.1127366   0.26730114
 -0.597517   -0.5289174   0.2659388   0.87188786  0.804382   -0.40431195
  1.6337925  -0.03954748 -0.22805545  0.7110107  -0.00466723  0.21976526
 -0.466881    0.4567194   0.66728336 -0.2860203   0.6594686   0.0256567
  0.04093623 -0.3562388   0.8517611   0.91827124  0.02525235  0.04954071
 -0.08403405 -0.07666604]",4.206315789473684
"Shrimp, Bacon, Avocado Pasta Salad ",avocado chipotle pepper powder cilantro dijon mustard fusilli pasta green onions lime juice lime zest olive oil shrimp bell pepper onion salt bacon white wine vinegar bell pepper,4,501,19,0.0379241516966067,8,"[-0.08663851  0.02066724 -0.69417626  0.24576226  0.49162072  0.20611927
 -0.02173786  0.08085044 -0.3877942   0.04079525 -0.3496032   0.3483296
  0.77285796 -0.22855541 -0.19638623 -0.24230465  0.02400371  0.45266554
 -0.2720465  -0.9340507   0.13852887 -0.4691561   1.3465197  -0.04820601
 -0.8934224  -0.10649718  0.35757366  1.0409366   0.9376406  -0.309401
  1.4367028  -0.3282315  -0.35041687  0.7434679   0.30723667  0.30086088
 -0.8125449   0.5021821   0.9854673  -0.44449085  0.76974046  0.12207668
 -0.07067531 -0.51958424  0.83674824  0.9893064  -0.0353069  -0.18484242
 -0.13281968  0.09540947]",8.075848303393213
Lamb Burgers With Tzatziki Sauce,cucumber egg extra virgin olive oil flat leaf parsley dill garlic greek yogurt ground lamb hamburger buns juice of lemon kosher salt & pepper,4,617,38,0.0615883306320907,4,"[ 0.05908224  0.21913834 -0.6257414   0.10598517  0.6489071   0.42796424
 -0.14826615 -0.04607846  0.00475795 -0.15701066 -0.1387642   0.36252943
  0.6307637  -0.21904075 -0.01101421 -0.1199623   0.06740992  0.30249324
 -0.20690769 -0.5908132   0.22863753 -0.5329132   0.9914071   0.15132692
 -0.56285936 -0.3449584   0.2867375   0.7707611   0.78934866 -0.25906053
  1.768555   -0.05093167 -0.116593    0.810005   -0.02754595  0.28564045
 -0.53906935  0.39431345  0.7260371  -0.36113426  0.69877696 -0.16591662
 -0.08866775 -0.26361135  0.7328708   0.78703874 -0.09712858 -0.15333435
 -0.05421613 -0.11988197]",4.123176661264181
